"merchantID","your_merchant_id"
"merchantReferenceCode","your_merchant_reference_code"
"billTo_firstName","John"
"billTo_lastName","Doe"
"billTo_street1","1295CharlestonRoad"
"billTo_city","MountainView"
"billTo_postalCode","94043"
"billTo_state","CA"
"billTo_country","US"
"billTo_email","null@cybersource.com"
"billTo_ipAddress","10.7.111.111"
"purchaseTotals_currency","USD"
"item_0_unitPrice","12.34"
"item_1_unitPrice","56.78"
"card_accountNumber","4111111111111111"
"card_expirationMonth","12"
"card_expirationYear","2020"
"ccAuthService_run","true"
"ccAuthService_cavv","ABCDEFabcdefABCDEFabcdef0987654321234567"
"ccAuthService_commerceIndicator","internet"
"ccAuthService_xid","ABCDEFabcdefABCDEFabcdef0987654321234567"
"paymentNetworkToken_transactionType","1"
"paymentSolution","001"
