"merchantID","your_merchant_id"
"merchantReferenceCode","your_merchant_reference_code"
"purchaseTotals_currency","USD"
"purchaseTotals_grandTotalAmount","75.00"
"pos_entryMode","contact"
"pos_cardPresent","Y"
"pos_terminalCapability","4"
"pos_trackData","%B4111111111111111^SMITH/BETTY^16121200123456789012**XXX******?*;4111111111111111=16121200XXXX00000000?*"
"ccAuthService_run","true"
"ccAuthService_commerceIndicator","retail"
"emvRequest_combinedTags","9F3303204000950500000000009F3704518823719F100706011103A000009F26081E1756ED0E2134E29F36020015820200009C01009F1A0208409A030006219F02060000000020005F2A0208409F0306000000000000"
"emvRequest_cardSequenceNumber","001"
